scenario_id,scenario_type,asset_type,threat_category,vulnerability_score,asset_importance,exposure_level,security_maturity,control_effectiveness,threat_intensity,incident_likelihood,data_sensitivity,estimated_financial_impact,risk_score,risk_level,response_priority
RISK-1340,Insider Threat,Web Server,DDoS,0.31,2,8,5,2,2,0.06,2,1038586,44.22,Medium,2순위
RISK-1341,Data Leakage,VPN Server,DDoS,2.58,9,8,7,4,10,0.91,5,3393951,100.0,High,1순위
RISK-1342,Data Leakage,VPN Server,Data Exfiltration,4.63,2,6,9,4,7,0.51,2,1279569,79.15,High,1순위
RISK-1343,Credential Compromise,Database Server,C2 Communication,8.68,5,5,2,2,9,0.93,10,3283635,100.0,High,1순위
RISK-1344,Service Disruption,File Server,DDoS,7.27,4,8,4,8,5,0.1,5,2012766,100.0,High,1순위
RISK-1345,Service Disruption,Cloud Service,Brute Force,7.43,7,3,4,2,8,0.58,10,3337340,100.0,High,1순위
RISK-1346,External Attack,Database Server,Data Exfiltration,4.25,8,3,2,3,5,0.36,6,2136275,100.0,High,1순위
RISK-1347,Data Leakage,File Server,Phishing,3.46,5,2,3,4,7,0.81,8,3170496,100.0,High,1순위
RISK-1348,Service Disruption,Database Server,C2 Communication,3.71,10,5,8,9,7,0.38,6,2989212,100.0,High,1순위
RISK-1349,Service Disruption,VPN Server,DDoS,9.88,5,3,9,10,9,0.28,4,2754610,100.0,High,1순위
RISK-1350,Insider Threat,File Server,Phishing,0.4,2,3,6,1,3,0.82,3,872007,45.82,Medium,2순위
RISK-1351,Insider Threat,VPN Server,C2 Communication,8.67,8,6,10,8,1,0.39,2,1921385,90.28,High,1순위
RISK-1352,Insider Threat,Endpoint PC,Data Exfiltration,5.79,2,8,2,5,2,0.07,1,1682103,81.81,High,1순위
RISK-1353,Malware Infection,Endpoint PC,DDoS,4.39,10,2,2,7,6,0.4,2,2979062,100.0,High,1순위
RISK-1354,Service Disruption,Web Server,Brute Force,7.25,6,4,7,8,10,0.64,2,2058923,100.0,High,1순위
RISK-1355,Insider Threat,VPN Server,C2 Communication,4.87,8,7,8,5,10,0.28,5,2288547,100.0,High,1순위
RISK-1356,Insider Threat,VPN Server,Brute Force,8.73,6,1,8,8,9,0.44,9,3076694,100.0,High,1순위
RISK-1357,Data Leakage,Web Server,Phishing,9.01,4,1,6,10,3,0.1,1,1497341,63.45,Medium,2순위
RISK-1358,Credential Compromise,Endpoint PC,Phishing,4.22,4,10,10,8,10,0.58,4,1279149,100.0,High,1순위
RISK-1359,Insider Threat,Endpoint PC,Data Exfiltration,2.77,6,7,8,9,2,0.73,10,2372990,84.93,High,1순위
RISK-1360,Data Leakage,File Server,Data Exfiltration,5.92,4,7,1,2,1,0.42,7,2701024,100.0,High,1순위
RISK-1361,External Attack,File Server,Vulnerability Exploitation,9.12,8,1,9,3,2,0.43,10,3019172,100.0,High,1순위
RISK-1362,Insider Threat,Cloud Service,Vulnerability Exploitation,2.11,9,1,1,1,3,0.13,3,2425858,95.96,High,1순위
RISK-1363,Credential Compromise,Endpoint PC,Data Exfiltration,6.23,1,4,3,4,7,0.23,8,2468754,100.0,High,1순위
RISK-1364,Data Leakage,Cloud Service,DDoS,6.32,4,5,9,5,2,0.19,3,1778786,69.47,Medium,2순위
RISK-1365,Credential Compromise,Database Server,Phishing,7.33,4,5,5,1,5,0.48,8,2477161,100.0,High,1순위
RISK-1366,Insider Threat,VPN Server,Brute Force,1.32,2,4,9,8,2,0.53,2,528335,6.74,Low,3순위
RISK-1367,External Attack,File Server,Data Exfiltration,7.16,6,8,9,2,7,0.9,5,2816531,100.0,High,1순위
RISK-1368,Insider Threat,Database Server,DDoS,9.09,3,7,6,1,10,0.12,4,2331557,100.0,High,1순위
RISK-1369,Data Leakage,File Server,Brute Force,1.8,7,9,1,2,8,0.59,9,2275151,100.0,High,1순위
RISK-1370,External Attack,Web Server,Vulnerability Exploitation,2.38,5,7,10,5,8,0.52,3,1755163,94.91,High,1순위
RISK-1371,External Attack,VPN Server,Brute Force,9.71,4,10,7,9,8,0.51,5,2107046,100.0,High,1순위
RISK-1372,External Attack,Cloud Service,Data Exfiltration,1.81,5,1,6,9,10,0.84,10,2907758,95.2,High,1순위
RISK-1373,Malware Infection,Cloud Service,Phishing,8.54,8,7,9,2,9,0.23,9,2314946,100.0,High,1순위
RISK-1374,Data Leakage,File Server,Data Exfiltration,4.92,3,1,7,2,1,0.09,6,1114496,38.12,Low,3순위
RISK-1375,Malware Infection,Endpoint PC,C2 Communication,2.47,7,7,4,3,1,0.66,2,1669395,95.8,High,1순위
RISK-1376,Credential Compromise,Cloud Service,DDoS,8.71,6,10,7,7,10,0.36,1,2411208,100.0,High,1순위
RISK-1377,External Attack,Web Server,DDoS,4.45,1,8,2,3,2,0.07,1,1416894,71.54,High,1순위
RISK-1378,Malware Infection,Web Server,DDoS,5.15,7,9,6,1,6,0.28,7,3006869,100.0,High,1순위
RISK-1379,Insider Threat,Endpoint PC,C2 Communication,3.59,7,3,6,6,1,0.33,2,1461626,55.44,Medium,2순위
RISK-1380,Malware Infection,Web Server,C2 Communication,5.93,1,4,2,3,5,0.61,7,1619736,100.0,High,1순위
RISK-1381,Service Disruption,VPN Server,Phishing,1.64,9,4,4,1,5,0.21,1,2326742,96.25,High,1순위
RISK-1382,Credential Compromise,File Server,DDoS,3.91,6,9,8,4,4,0.42,4,2167875,100.0,High,1순위
RISK-1383,External Attack,Web Server,Data Exfiltration,9.69,2,7,8,1,5,0.48,10,2456352,100.0,High,1순위
RISK-1384,External Attack,VPN Server,C2 Communication,2.58,5,3,8,1,1,0.46,4,1185194,48.32,Medium,2순위
RISK-1385,Credential Compromise,Endpoint PC,Data Exfiltration,6.57,4,10,8,2,6,0.93,5,1683778,100.0,High,1순위
RISK-1386,Credential Compromise,File Server,Vulnerability Exploitation,3.25,7,5,1,10,7,0.09,10,2256688,100.0,High,1순위
RISK-1387,Data Leakage,Endpoint PC,DDoS,7.73,8,7,2,8,8,0.91,1,2011983,100.0,High,1순위
RISK-1388,Insider Threat,File Server,C2 Communication,1.31,1,8,4,2,2,0.57,7,1256346,77.79,High,1순위
RISK-1389,Credential Compromise,Web Server,C2 Communication,9.7,5,1,9,2,7,0.77,2,1924103,100.0,High,1순위
RISK-1390,Credential Compromise,Web Server,Phishing,4.54,3,2,3,10,6,0.44,2,950108,58.47,Medium,2순위
RISK-1391,Data Leakage,File Server,Data Exfiltration,2.36,1,7,6,10,9,0.46,8,1831702,87.06,High,1순위
RISK-1392,Credential Compromise,VPN Server,Phishing,0.73,3,2,7,8,8,0.84,9,1744837,59.84,Medium,2순위
RISK-1393,Malware Infection,VPN Server,Phishing,1.7,6,7,8,6,4,0.86,6,2356917,97.99,High,1순위
RISK-1394,Service Disruption,VPN Server,Data Exfiltration,5.2,7,9,7,4,9,0.26,1,2649729,100.0,High,1순위
RISK-1395,Service Disruption,Database Server,Vulnerability Exploitation,3.37,8,2,3,3,1,0.23,1,1836990,68.22,Medium,2순위
RISK-1396,Service Disruption,Cloud Service,Data Exfiltration,8.29,4,7,6,1,6,0.5,7,2645078,100.0,High,1순위
RISK-1397,Credential Compromise,Cloud Service,Vulnerability Exploitation,4.31,3,4,5,3,8,0.86,8,2648634,100.0,High,1순위
RISK-1398,Service Disruption,Cloud Service,Phishing,2.49,5,2,10,9,4,0.34,3,853797,21.49,Low,3순위
RISK-1399,Insider Threat,VPN Server,Vulnerability Exploitation,6.17,9,7,4,5,2,0.64,9,1966791,100.0,High,1순위
RISK-1400,Malware Infection,Web Server,DDoS,7.07,6,5,1,6,2,0.69,4,1896997,100.0,High,1순위
RISK-1401,Service Disruption,Database Server,Vulnerability Exploitation,1.67,9,1,7,5,10,0.75,4,2166927,100.0,High,1순위
RISK-1402,External Attack,VPN Server,Vulnerability Exploitation,1.68,6,5,8,1,1,0.56,3,1599173,64.43,Medium,2순위
RISK-1403,Credential Compromise,Web Server,C2 Communication,0.37,2,3,2,10,5,0.41,8,849651,45.72,Medium,2순위
RISK-1404,Malware Infection,Database Server,C2 Communication,7.36,5,7,7,1,6,0.92,9,3049264,100.0,High,1순위
RISK-1405,Insider Threat,Web Server,Phishing,6.64,9,6,6,4,4,0.6,1,2058468,100.0,High,1순위
RISK-1406,Service Disruption,File Server,Data Exfiltration,4.75,8,8,5,3,4,0.71,2,2885066,100.0,High,1순위
RISK-1407,Insider Threat,Web Server,Vulnerability Exploitation,8.44,7,5,4,8,5,0.36,1,2665372,100.0,High,1순위
RISK-1408,Credential Compromise,Database Server,DDoS,8.06,1,2,2,7,5,0.65,4,2225743,88.11,High,1순위
RISK-1409,Service Disruption,VPN Server,C2 Communication,5.85,4,9,10,7,9,0.28,10,2595906,100.0,High,1순위
RISK-1410,External Attack,Cloud Service,Data Exfiltration,8.68,7,8,6,8,8,0.27,7,2048165,100.0,High,1순위
RISK-1411,Malware Infection,Database Server,DDoS,2.06,7,6,5,10,9,0.69,7,2345372,100.0,High,1순위
RISK-1412,External Attack,VPN Server,Vulnerability Exploitation,1.12,6,10,2,7,3,0.52,6,1999635,100.0,High,1순위
RISK-1413,Service Disruption,VPN Server,Data Exfiltration,2.7,8,7,10,10,3,0.66,5,2536461,72.6,High,1순위
RISK-1414,Data Leakage,Endpoint PC,DDoS,0.57,6,9,7,2,1,0.29,4,1793708,69.98,Medium,2순위
RISK-1415,Malware Infection,File Server,Brute Force,5.31,10,7,6,4,10,0.59,8,2585635,100.0,High,1순위
RISK-1416,Insider Threat,Endpoint PC,DDoS,9.37,3,3,9,6,6,0.45,7,2812969,100.0,High,1순위
RISK-1417,Service Disruption,Cloud Service,DDoS,0.39,4,6,10,3,4,0.59,10,1524046,66.29,Medium,2순위
RISK-1418,External Attack,Database Server,Vulnerability Exploitation,1.22,3,7,5,3,8,0.31,1,1106585,81.9,High,1순위
RISK-1419,Credential Compromise,Endpoint PC,Data Exfiltration,4.52,1,2,9,6,2,0.69,6,876298,36.88,Low,3순위
RISK-1420,Data Leakage,Cloud Service,Vulnerability Exploitation,9.34,10,3,9,1,2,0.78,2,2520585,100.0,High,1순위
RISK-1421,Credential Compromise,VPN Server,Vulnerability Exploitation,3.16,5,4,1,1,7,0.28,4,2400153,100.0,High,1순위
RISK-1422,Service Disruption,Database Server,Brute Force,5.07,1,10,5,5,5,0.32,5,1870891,100.0,High,1순위
RISK-1423,Insider Threat,Endpoint PC,DDoS,0.42,1,6,9,1,1,0.65,8,1240323,42.3,Medium,2순위
RISK-1424,External Attack,Web Server,Data Exfiltration,1.48,2,1,7,10,7,0.68,6,837942,44.67,Medium,2순위
RISK-1425,Malware Infection,Cloud Service,Phishing,9.87,4,9,6,8,7,0.68,2,1739426,100.0,High,1순위
RISK-1426,Data Leakage,Cloud Service,C2 Communication,9.65,6,5,6,2,10,0.66,5,2371029,100.0,High,1순위
RISK-1427,Service Disruption,File Server,Vulnerability Exploitation,0.05,8,7,7,6,6,0.4,5,2449065,94.03,High,1순위
RISK-1428,Service Disruption,Web Server,Vulnerability Exploitation,9.52,3,9,1,10,4,0.41,6,2248109,100.0,High,1순위
RISK-1429,Service Disruption,Database Server,Vulnerability Exploitation,6.39,1,9,4,10,8,0.28,1,889968,94.96,High,1순위
RISK-1430,Service Disruption,Endpoint PC,Vulnerability Exploitation,8.68,3,1,1,5,2,0.19,8,1862134,97.52,High,1순위
RISK-1431,External Attack,VPN Server,C2 Communication,4.55,3,1,6,10,2,0.67,3,756203,29.72,Low,3순위
RISK-1432,Malware Infection,Endpoint PC,Phishing,5.16,5,3,4,4,2,0.13,5,1689446,83.22,High,1순위
RISK-1433,Insider Threat,Database Server,Brute Force,4.89,4,6,1,1,3,0.89,7,2007344,100.0,High,1순위
RISK-1434,Data Leakage,Database Server,Phishing,6.67,4,2,9,3,6,0.79,3,1706026,94.27,High,1순위
RISK-1435,Service Disruption,Database Server,C2 Communication,1.4,9,10,4,4,1,0.82,10,2437100,100.0,High,1순위
RISK-1436,Credential Compromise,Database Server,Data Exfiltration,0.3,7,1,6,2,2,0.87,6,2267678,75.84,High,1순위
RISK-1437,Service Disruption,Cloud Service,Brute Force,3.08,4,1,7,2,10,0.42,5,2456119,93.03,High,1순위
RISK-1438,Malware Infection,Endpoint PC,Brute Force,7.05,3,5,8,2,2,0.81,7,1999950,99.99,High,1순위
RISK-1439,Malware Infection,Web Server,Data Exfiltration,2.02,6,4,9,1,1,0.19,10,1727072,64.14,Medium,2순위
RISK-1440,External Attack,VPN Server,DDoS,6.73,3,1,9,10,3,0.07,3,1011917,31.13,Low,3순위
RISK-1441,External Attack,VPN Server,Vulnerability Exploitation,9.7,6,4,8,2,10,0.76,2,2147135,100.0,High,1순위
RISK-1442,Credential Compromise,File Server,C2 Communication,0.94,9,3,10,6,7,0.12,4,2454645,56.43,Medium,2순위
RISK-1443,Credential Compromise,Cloud Service,Data Exfiltration,6.73,6,2,3,3,1,0.94,3,1577192,99.84,High,1순위
RISK-1444,External Attack,Database Server,Phishing,4.44,4,9,2,10,7,0.66,4,2201859,100.0,High,1순위
RISK-1445,Data Leakage,Database Server,Phishing,8.68,5,1,5,5,5,0.73,7,2506758,100.0,High,1순위
RISK-1446,Credential Compromise,Database Server,DDoS,1.77,6,7,1,1,9,0.27,5,1470594,100.0,High,1순위
RISK-1447,External Attack,Cloud Service,Data Exfiltration,6.93,3,4,3,8,2,0.66,4,2149724,77.92,High,1순위
RISK-1448,Service Disruption,Web Server,C2 Communication,8.38,8,5,1,4,1,0.09,6,2836040,100.0,High,1순위
RISK-1449,External Attack,Database Server,DDoS,9.45,4,10,3,9,9,0.8,7,2277461,100.0,High,1순위
RISK-1450,Data Leakage,File Server,DDoS,6.83,8,5,4,4,8,0.2,5,2894875,100.0,High,1순위
RISK-1451,External Attack,File Server,DDoS,4.97,10,1,7,2,10,0.68,7,2217741,100.0,High,1순위
RISK-1452,External Attack,Web Server,Brute Force,6.18,10,6,5,3,6,0.25,3,2706072,100.0,High,1순위
RISK-1453,Service Disruption,Cloud Service,Brute Force,8.69,3,9,5,5,5,0.11,7,1849063,100.0,High,1순위
RISK-1454,Credential Compromise,Database Server,Vulnerability Exploitation,5.71,10,2,1,10,8,0.48,3,1790721,100.0,High,1순위
RISK-1455,Service Disruption,Endpoint PC,C2 Communication,0.3,7,7,8,6,8,0.2,6,2722064,89.53,High,1순위
RISK-1456,Service Disruption,Endpoint PC,Phishing,9.31,9,6,4,7,5,0.71,8,2449915,100.0,High,1순위
RISK-1457,External Attack,VPN Server,Phishing,6.9,4,5,10,4,7,0.26,6,1414545,100.0,High,1순위
RISK-1458,Service Disruption,Web Server,Vulnerability Exploitation,6.77,8,4,5,7,1,0.36,10,2318688,100.0,High,1순위
RISK-1459,Malware Infection,Endpoint PC,Phishing,2.16,3,4,2,10,4,0.56,3,874034,49.06,Medium,2순위
RISK-1460,Insider Threat,VPN Server,DDoS,6.59,7,6,1,3,2,0.31,5,2439237,100.0,High,1순위
RISK-1461,Insider Threat,File Server,Vulnerability Exploitation,3.94,3,4,9,7,10,0.39,9,1913127,94.48,High,1순위
RISK-1462,Service Disruption,VPN Server,Vulnerability Exploitation,6.51,7,5,2,4,3,0.78,8,2535727,100.0,High,1순위
RISK-1463,Credential Compromise,Database Server,Data Exfiltration,1.07,10,6,6,8,1,0.21,6,2023859,79.72,High,1순위
RISK-1464,Data Leakage,Database Server,Brute Force,6.58,10,5,1,9,2,0.12,9,2801127,100.0,High,1순위
RISK-1465,Service Disruption,File Server,C2 Communication,9.99,6,7,1,7,1,0.35,2,1736946,100.0,High,1순위
RISK-1466,Credential Compromise,Web Server,C2 Communication,0.48,2,9,9,8,8,0.43,9,2291572,78.16,High,1순위
RISK-1467,Service Disruption,Cloud Service,Brute Force,9.77,3,10,4,8,4,0.54,10,2117568,100.0,High,1순위
RISK-1468,External Attack,Database Server,DDoS,4.07,6,7,9,2,3,0.39,10,2210092,100.0,High,1순위
RISK-1469,Credential Compromise,Database Server,C2 Communication,8.71,4,7,5,9,1,0.76,6,1951493,100.0,High,1순위
RISK-1470,Data Leakage,VPN Server,Phishing,7.82,6,4,7,6,2,0.09,9,3297831,100.0,High,1순위
RISK-1471,Service Disruption,VPN Server,Phishing,5.67,1,1,1,4,3,0.44,4,899575,71.47,High,1순위
RISK-1472,Malware Infection,VPN Server,C2 Communication,7.38,10,8,6,5,3,0.39,5,3462785,100.0,High,1순위
RISK-1473,Credential Compromise,Endpoint PC,Data Exfiltration,8.79,1,4,8,10,6,0.63,2,921556,80.66,High,1순위
RISK-1474,Insider Threat,File Server,C2 Communication,4.04,3,1,1,5,10,0.92,3,1342821,100.0,High,1순위
RISK-1475,Credential Compromise,Web Server,Vulnerability Exploitation,3.27,8,5,9,7,8,0.51,1,1828709,89.52,High,1순위
RISK-1476,Malware Infection,VPN Server,DDoS,6.68,8,8,3,9,6,0.94,4,2128499,100.0,High,1순위
RISK-1477,Malware Infection,Web Server,Vulnerability Exploitation,8.08,4,4,1,7,2,0.32,2,1692743,92.09,High,1순위
RISK-1478,Malware Infection,VPN Server,Brute Force,7.62,6,8,1,9,2,0.08,2,2705825,100.0,High,1순위
RISK-1479,Data Leakage,Database Server,DDoS,7.98,8,8,6,4,7,0.2,1,1478566,100.0,High,1순위
RISK-1480,Data Leakage,Web Server,DDoS,4.36,7,3,6,10,1,0.41,10,2208437,76.25,High,1순위
RISK-1481,Credential Compromise,Endpoint PC,Phishing,8.18,7,9,1,10,1,0.33,2,1982180,100.0,High,1순위
RISK-1482,Data Leakage,VPN Server,DDoS,1.2,4,3,3,4,7,0.14,4,1348329,67.68,Medium,2순위
RISK-1483,Insider Threat,Cloud Service,Data Exfiltration,5.44,9,1,7,6,9,0.44,6,2648026,100.0,High,1순위
RISK-1484,External Attack,File Server,C2 Communication,0.06,10,2,10,8,5,0.35,7,2501731,59.74,Medium,2순위
RISK-1485,Credential Compromise,Database Server,Vulnerability Exploitation,3.25,6,6,3,9,1,0.16,7,1723707,73.37,High,1순위
RISK-1486,Service Disruption,VPN Server,Phishing,3.66,3,10,3,1,5,0.32,7,2173344,100.0,High,1순위
RISK-1487,Service Disruption,Web Server,Phishing,3.96,5,2,3,1,1,0.85,4,1516388,86.02,High,1순위
RISK-1488,Credential Compromise,VPN Server,Data Exfiltration,6.95,5,6,7,8,10,0.32,5,1819247,100.0,High,1순위
RISK-1489,External Attack,Database Server,Data Exfiltration,3.89,5,1,4,7,9,0.69,3,1862626,96.45,High,1순위
RISK-1490,Service Disruption,File Server,Data Exfiltration,4.49,8,1,4,9,4,0.6,1,1692582,73.71,High,1순위
RISK-1491,Credential Compromise,File Server,Data Exfiltration,2.38,9,5,3,3,9,0.43,8,1856135,100.0,High,1순위
RISK-1492,Credential Compromise,File Server,Vulnerability Exploitation,3.73,9,10,10,10,2,0.27,10,2363162,100.0,High,1순위
RISK-1493,Malware Infection,Cloud Service,Data Exfiltration,2.27,6,9,9,5,7,0.38,7,2096117,100.0,High,1순위
RISK-1494,Insider Threat,Database Server,Phishing,0.73,6,8,2,3,2,0.58,9,2693308,100.0,High,1순위
RISK-1495,Service Disruption,Cloud Service,Phishing,6.03,9,3,4,5,4,0.37,10,2250239,100.0,High,1순위
RISK-1496,Insider Threat,Cloud Service,DDoS,6.68,4,3,8,10,6,0.24,4,1975400,74.93,High,1순위
RISK-1497,Credential Compromise,VPN Server,C2 Communication,6.19,6,1,6,1,2,0.15,5,1687114,78.19,High,1순위
RISK-1498,External Attack,Database Server,Phishing,4.63,4,3,7,4,2,0.84,5,2259831,75.5,High,1순위
RISK-1499,Credential Compromise,Database Server,Phishing,3.8,1,1,7,6,2,0.45,7,1053962,32.35,Low,3순위
RISK-1500,Service Disruption,VPN Server,Vulnerability Exploitation,8.63,7,8,2,2,3,0.61,9,1973965,100.0,High,1순위
RISK-1501,Insider Threat,Endpoint PC,DDoS,5.19,10,1,4,7,5,0.49,8,3479187,100.0,High,1순위
RISK-1502,Malware Infection,Cloud Service,Phishing,4.79,6,5,10,8,9,0.84,7,2043043,100.0,High,1순위
RISK-1503,Malware Infection,File Server,Brute Force,0.26,9,9,10,1,6,0.54,1,2505476,100.0,High,1순위
RISK-1504,Credential Compromise,Web Server,Phishing,3.41,7,7,6,4,9,0.48,10,2331090,100.0,High,1순위
RISK-1505,External Attack,Cloud Service,C2 Communication,3.8,7,4,3,4,10,0.88,6,2216097,100.0,High,1순위
RISK-1506,Data Leakage,Web Server,C2 Communication,3.99,2,9,9,5,5,0.7,10,2801207,100.0,High,1순위
RISK-1507,Service Disruption,VPN Server,DDoS,5.8,9,9,4,4,6,0.15,9,3398016,100.0,High,1순위
RISK-1508,Credential Compromise,Web Server,DDoS,5.34,10,2,10,9,10,0.21,7,3251541,100.0,High,1순위
RISK-1509,Malware Infection,Endpoint PC,Data Exfiltration,6.08,9,10,2,7,8,0.76,1,2459020,100.0,High,1순위
RISK-1510,Malware Infection,Database Server,Vulnerability Exploitation,7.65,6,10,6,2,3,0.8,9,2172408,100.0,High,1순위
RISK-1511,External Attack,File Server,C2 Communication,8.13,3,6,1,1,2,0.54,3,1340814,100.0,High,1순위
RISK-1512,Malware Infection,Web Server,Brute Force,7.18,1,4,6,9,3,0.55,9,2273051,75.12,High,1순위
RISK-1513,Service Disruption,Web Server,Brute Force,9.56,4,8,10,1,9,0.62,4,1835431,100.0,High,1순위
RISK-1514,External Attack,VPN Server,Data Exfiltration,0.18,3,7,1,6,6,0.45,9,2114927,92.06,High,1순위
RISK-1515,Insider Threat,VPN Server,Vulnerability Exploitation,1.96,1,7,8,2,10,0.66,8,1931749,100.0,High,1순위
RISK-1516,External Attack,Database Server,Vulnerability Exploitation,0.08,3,10,5,4,4,0.15,7,2390213,81.81,High,1순위
RISK-1517,Service Disruption,File Server,DDoS,6.47,4,9,6,6,10,0.92,4,1565112,100.0,High,1순위
RISK-1518,Service Disruption,Web Server,Phishing,8.98,8,5,2,5,3,0.73,9,3358246,100.0,High,1순위
RISK-1519,Insider Threat,Database Server,Brute Force,2.43,9,6,2,6,2,0.62,4,2292094,99.38,High,1순위
RISK-1520,Credential Compromise,File Server,Brute Force,9.27,3,1,9,3,4,0.33,1,1058705,77.96,High,1순위
RISK-1521,External Attack,Database Server,Brute Force,0.6,6,6,3,5,9,0.19,6,2787183,100.0,High,1순위
RISK-1522,Service Disruption,Web Server,Brute Force,9.34,10,2,6,2,4,0.42,4,3093316,100.0,High,1순위
RISK-1523,Service Disruption,VPN Server,C2 Communication,3.52,5,6,10,7,5,0.65,10,2033713,88.31,High,1순위
RISK-1524,Insider Threat,VPN Server,Vulnerability Exploitation,1.01,6,9,5,3,8,0.62,3,1836566,100.0,High,1순위
RISK-1525,Data Leakage,VPN Server,Phishing,4.86,4,8,4,1,2,0.39,5,1782152,100.0,High,1순위
RISK-1526,External Attack,Endpoint PC,C2 Communication,2.57,10,9,10,8,3,0.6,3,3000221,98.36,High,1순위
RISK-1527,Service Disruption,Database Server,Vulnerability Exploitation,2.85,6,10,2,8,6,0.78,9,1693364,100.0,High,1순위
RISK-1528,Malware Infection,Web Server,Data Exfiltration,3.07,7,8,8,3,7,0.07,6,1998008,100.0,High,1순위
RISK-1529,Insider Threat,Database Server,Brute Force,8.03,9,3,10,7,4,0.46,3,2771069,100.0,High,1순위
RISK-1530,Data Leakage,VPN Server,Phishing,5.39,10,8,7,9,1,0.73,5,2668592,100.0,High,1순위
RISK-1531,Data Leakage,Cloud Service,Vulnerability Exploitation,3.11,7,6,2,8,7,0.54,8,2225357,100.0,High,1순위
RISK-1532,Insider Threat,Cloud Service,Data Exfiltration,6.1,6,6,6,3,9,0.64,8,2985603,100.0,High,1순위
RISK-1533,Data Leakage,Database Server,Brute Force,7.16,1,6,8,2,1,0.52,6,1754790,76.17,High,1순위
RISK-1534,Service Disruption,File Server,Data Exfiltration,2.73,2,3,7,10,1,0.94,5,905955,25.81,Low,3순위
RISK-1535,Data Leakage,Cloud Service,Data Exfiltration,4.14,1,10,1,7,1,0.1,5,1466783,85.42,High,1순위
RISK-1536,External Attack,Cloud Service,C2 Communication,1.22,9,1,5,7,10,0.49,1,2103023,84.38,High,1순위
RISK-1537,Malware Infection,Database Server,Data Exfiltration,1.81,10,4,2,9,7,0.13,2,2330509,95.6,High,1순위
RISK-1538,Service Disruption,Endpoint PC,C2 Communication,6.81,10,10,6,5,9,0.19,4,1945813,100.0,High,1순위
RISK-1539,Insider Threat,Endpoint PC,DDoS,1.81,9,6,7,4,3,0.39,6,2473496,92.49,High,1순위
RISK-1540,Malware Infection,VPN Server,C2 Communication,5.25,7,10,7,8,8,0.19,7,1732934,100.0,High,1순위
RISK-1541,Credential Compromise,Web Server,Data Exfiltration,7.09,2,2,3,4,9,0.92,1,1882497,100.0,High,1순위
RISK-1542,Service Disruption,File Server,Vulnerability Exploitation,1.07,6,7,7,4,3,0.9,8,2596752,87.62,High,1순위
RISK-1543,Malware Infection,Web Server,Data Exfiltration,5.67,4,7,5,2,3,0.35,1,1918976,95.91,High,1순위
RISK-1544,Data Leakage,Web Server,Data Exfiltration,2.57,1,4,8,1,1,0.63,9,1130870,62.52,Medium,2순위
RISK-1545,Credential Compromise,File Server,Vulnerability Exploitation,9.63,1,4,8,4,2,0.53,4,1606803,83.28,High,1순위
RISK-1546,Insider Threat,Endpoint PC,Brute Force,4.84,5,1,7,7,7,0.78,7,1578864,81.9,High,1순위
RISK-1547,Insider Threat,Cloud Service,Phishing,8.06,2,2,6,9,3,0.61,6,2019100,81.02,High,1순위
RISK-1548,External Attack,VPN Server,DDoS,5.5,4,9,2,9,7,0.05,9,2935874,100.0,High,1순위
RISK-1549,Data Leakage,Database Server,Brute Force,0.43,1,10,6,10,5,0.74,2,707679,57.66,Medium,2순위
RISK-1550,External Attack,Endpoint PC,Data Exfiltration,6.33,4,8,9,1,10,0.72,7,1841554,100.0,High,1순위
RISK-1551,External Attack,VPN Server,Brute Force,9.51,6,8,2,5,8,0.51,5,2404959,100.0,High,1순위
RISK-1552,Data Leakage,Cloud Service,Phishing,6.02,10,9,1,7,5,0.86,7,3085479,100.0,High,1순위
RISK-1553,Service Disruption,Endpoint PC,Brute Force,8.19,4,7,5,7,3,0.87,1,2028016,100.0,High,1순위
RISK-1554,Credential Compromise,File Server,Phishing,8.84,1,9,6,10,9,0.52,10,2042859,100.0,High,1순위
RISK-1555,External Attack,Web Server,Brute Force,2.28,7,10,3,6,7,0.6,9,2681020,100.0,High,1순위
RISK-1556,Malware Infection,File Server,C2 Communication,2.12,2,2,8,10,5,0.95,1,382937,23.94,Low,3순위
RISK-1557,Credential Compromise,Cloud Service,Data Exfiltration,6.11,9,6,7,4,7,0.32,5,2470824,100.0,High,1순위
RISK-1558,Service Disruption,Database Server,Phishing,4.11,3,3,2,3,10,0.34,8,2474785,100.0,High,1순위
RISK-1559,Data Leakage,File Server,DDoS,8.4,8,6,7,9,9,0.21,1,2076190,100.0,High,1순위
RISK-1560,Insider Threat,Cloud Service,Data Exfiltration,9.0,8,3,1,10,5,0.86,7,1726721,100.0,High,1순위
RISK-1561,Service Disruption,Web Server,C2 Communication,3.53,3,8,9,4,7,0.72,2,2414543,100.0,High,1순위
RISK-1562,External Attack,Endpoint PC,Brute Force,2.37,4,4,7,8,9,0.15,7,1413918,71.77,High,1순위
RISK-1563,Malware Infection,VPN Server,Data Exfiltration,7.81,2,10,6,1,1,0.93,7,2399063,100.0,High,1순위
RISK-1564,Credential Compromise,Cloud Service,Brute Force,2.75,4,6,2,7,4,0.71,9,2438922,100.0,High,1순위
RISK-1565,Data Leakage,Cloud Service,Brute Force,8.23,9,9,3,6,1,0.82,6,2502040,100.0,High,1순위
RISK-1566,Insider Threat,Database Server,Data Exfiltration,4.24,2,2,1,1,8,0.09,4,1480395,100.0,High,1순위
